"filename", "language", "C++", "YAML", "Dart", "Markdown", "JSON", "HTML", "Swift", "XML", "Java Properties", "Properties", "comment", "blank", "total"
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\analysis_options.yaml", "YAML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\android\app\google-services.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 11, 1, 50
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\assets\images\In no time-amico.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\assets\images\loginamico.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\assets\images\mobile_register2_pana.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\firebase.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
